rank,code,total_coverage_ratio,description
1,63400,0.3780821917808219,I/O module SW ver. Conflict
2,8136,0.033707865168539325,Sec.Windspeed < expect  Icing
3,1014,0.03317020119630234,Stopped for SW update
4,1005,0.027332965212589728,Availability - low wind
5,13906,0.02608695652173913,GEN. INV. COM. ERROR
6,8108,0.023255813953488372,FT1 Sonic wind sensor error
7,1022,0.01677962755807067,Local  scheduled service work
8,63003,0.01572416406175997,Stop for powerdown
9,5113,0.015067472472886829,Gridvolt.<lower limit4
10,5210,0.014547546642557738,Gridfreq.<lower limit1
11,5112,0.014432822508716452,Gridvolt.<lower limit3
12,14111,0.014388489208633094,GenInv: 111 CAN2 warnings
13,5104,0.01410808225729316,Low lower voltage exceeded
14,13908,0.014084507042253521,INV. MODBUS. COM. ERROR
15,13316,0.012345679012345678,Inv. Nac coolw. pres. sens err
16,13117,0.01223128243143069,Charge main breaker cut out
17,1015,0.01172966612737167,Manual idle stop
18,1020,0.011340089665825264,Turbine in local operation
19,14047,0.011235955056179775,GenInv: 47 D2 volt high
20,5110,0.010758570386579139,Gridvolt.<lower limit1
21,2006,0.0074936934263243795,DG:Local power limit  Siemens
22,4301,0.007150368033648791,Inline filter warning
23,5201,0.007100969402002632,Frequency on mains too low
24,15111,0.006993006993006993,GrdInv: 111 CAN2 warnings
25,1,0.0069348956776469186,Station is in Service Mode
26,7,0.006872852233676976,Stopped due to grid error
27,1007,0.0068621486798880645,Remote stop - Owner
28,15001,0.0061667488899852,GrdInv: 1 interlock
29,64001,0.005789899110858306,Grease level low  main bearing
30,5200,0.0056657223796034,Frequency on mains too high
31,-1,0.00547228801973161,
32,8200,0.005205402363534046,Low suppltvolt. lightn. detec.
33,5111,0.004903986555362702,Gridvolt.<lower limit2
34,1024,0.004723346828609987,Local  customer / guest visit
35,3199,0.00394563787812363,Orientation Stop -Out of range
36,64059,0.003739249657235448,MV-breaker internal relay err.
37,4306,0.003663003663003663,Inline (bef) press. sens.error
38,11,0.0034545539423929787,Remote Stop Command is active
39,8207,0.00333889816360601,Visibilitymeter sensor error
40,1001,0.0033010901274374326,Manual stop
41,9,0.003072593613599816,Stopped due to internal error. Manual reset is required
42,13900,0.0029916089018606346,Converter tripped  general
43,0,0.0029058538330087825,In operation: Generator on grid
44,1018,0.002581550333216415,Stopped due to power up delay
45,8185,0.002499604492959975,Many Wind Vane activations
46,64053,0.0022032086934475003,MV-breaker tripped
47,926,0.0020942408376963353,Software WatchDog tripped
48,5122,0.0019842640327026807,FRT detected by grid module
49,1023,0.0019743336623889436,Local  ad-hoc / repair work
50,14302,0.0019588638589618022,GenInv: 302 Net Bridge Interl.
51,8184,0.0019435646415202992,Many Anemometer activations
52,3117,0.0018823150277586535,No lubrication  blade C
53,3116,0.001801429330813301,No lubrication  blade B
54,2,0.0017849126057418307,Station is in Error Mode
